Age,EducationLevel,FieldOfStudy,InstitutionType,MonthlyIncome,LearningFrequency,PreferredFormats,UsedPlatforms,StudyTime,AttentionSpan,LearningMotivation,LearningChallenges,DeviceUsed,WillingnessToUse,WillingToShareData,ValuableFeatures,MonthlyWillingnessToPay,ContentDeliveryMode,PreferredLanguages,CareAboutCertification,ConvincingFactors,GoalTrackingPreference,TryNewToolsFrequency,OnlineLearningFear,RecommendLikelihood
16,High School,Medical,Online University,< ₹10k,Often,"One-on-one mentoring, Flashcards, Group discussions","Unacademy, YouTube",Evening,45–60 mins,Peer pressure,Hard to understand,Desktop,3,Yes,Personalized schedules,42.58,Mixed,"English, Regional",Yes,App reviews,Achievement badges,Often,Not understanding,5
23,Undergraduate,Law,Other,₹30k–60k,Occasionally,"One-on-one mentoring, Flashcards, Group discussions","Coursera, None",Afternoon,>60 mins,Academic success,"Poor content quality, Time management, Hard to understand",Mobile,5,Yes,Gamification,552.37,Text + Video,"Hindi, English",Yes,Peer usage,Progress bars,Often,Not finishing,3
23,High School,Science,Traditional College,₹60k–100k,Occasionally,Text-based guides,"Coursera, BYJU'S",Morning,45–60 mins,Certification,"Hard to understand, Time management, Procrastination",Laptop,5,Yes,"Personalized schedules, Weekly reports, Adaptive quizzes",389.64,Video only,"Regional, English",Yes,Better structure,Achievement badges,Occasionally,Not finishing,2
19,Professional Course,Medical,Other,₹30k–60k,Rarely,One-on-one mentoring,"Udemy, YouTube, Coursera",Afternoon,<15 mins,Certification,"Lack of support, Procrastination, Hard to understand",Mobile,3,No,"Weekly reports, Gamification, Personalized schedules",423.29,Mixed,"English, Mix of English + Regional, Hindi",Yes,Better grades,Score tracking,Occasionally,Not understanding,1
19,Undergraduate,Other,Other,₹10k–30k,Daily,"Text-based guides, One-on-one mentoring",Coursera,Late night,30–45 mins,Peer pressure,"Procrastination, Poor content quality",Laptop,3,No,"Adaptive quizzes, Personalized schedules",425.88,Mixed,English,Yes,"Better grades, Better structure, Trial success",Score tracking,Often,Not finishing,5
22,Undergraduate,Engineering,Self-Learning,₹10k–30k,Rarely,"Group discussions, Video lectures","Khan Academy, BYJU'S",Morning,>60 mins,Parental push,"Time management, Lack of support, Poor content quality",Tablet,4,Yes,"Gamification, Mentor guidance, Personalized schedules",471.17,Text + Video,Hindi,Yes,App reviews,Progress bars,Always,Too boring,4
22,Undergraduate,Science,Other,> ₹100k,Never,"Text-based guides, Video lectures","Unacademy, Khan Academy",Evening,15–30 mins,Curiosity,Hard to understand,Desktop,3,Yes,Gamification,312.26,Video only,English,Yes,"App reviews, Peer usage, Better structure",Achievement badges,Occasionally,Not finishing,4
17,High School,Arts,Traditional College,₹30k–60k,Daily,Video lectures,YouTube,Afternoon,>60 mins,Peer pressure,"Lack of support, Hard to understand",Tablet,4,Yes,Mentor guidance,409.1,Mixed,"Hindi, Mix of English + Regional, English",Yes,"App reviews, Certifications, Better grades",Score tracking,Occasionally,Wasting time,4
25,Other,Science,Coaching Institute,₹30k–60k,Often,"Text-based guides, Interactive quizzes","YouTube, Coursera, Khan Academy",Evening,15–30 mins,Certification,Lack of support,Mobile,4,Yes,"Gamification, Mentor guidance, Adaptive quizzes",81.78,AI tutor,"English, Mix of English + Regional, Regional",Yes,"Trial success, App reviews, Better grades",Mentor reviews,Often,Too boring,1
23,Other,Science,Traditional College,₹30k–60k,Often,"Flashcards, Text-based guides, Video lectures",Udemy,Evening,<15 mins,Academic success,"Hard to understand, Hard to stay focused",Desktop,5,Yes,Adaptive quizzes,267.11,Mixed,"Hindi, Regional",Yes,Better grades,Achievement badges,Often,Not finishing,5
17,High School,Other,Online University,₹10k–30k,Often,"Group discussions, Flashcards, Interactive quizzes",Khan Academy,Evening,30–45 mins,Parental push,"Poor content quality, Procrastination",Laptop,3,Yes,"Gamification, Weekly reports, Personalized schedules",359.07,Text + Video,Regional,No,"Better grades, Better structure",Score tracking,Often,Wasting money,3
18,Undergraduate,Law,Traditional College,₹30k–60k,Occasionally,"Video lectures, Text-based guides, Group discussions","None, YouTube, BYJU'S",Late night,45–60 mins,Career goals,"Time management, Hard to understand",Tablet,5,Yes,"Personalized schedules, Mentor guidance, Gamification",627.51,Video only,Hindi,No,Better structure,Progress bars,Occasionally,Too boring,5
19,Professional Course,Arts,Self-Learning,₹10k–30k,Daily,Text-based guides,Coursera,Random,30–45 mins,Academic success,Lack of support,Desktop,4,Yes,"Adaptive quizzes, Mentor guidance, Personalized schedules",431.45,Interactive modules,"Mix of English + Regional, Hindi",Yes,Better structure,Score tracking,Often,Not understanding,5
17,Undergraduate,Medical,Other,> ₹100k,Daily,Text-based guides,"Udemy, BYJU'S",Afternoon,45–60 mins,Academic success,Hard to stay focused,Tablet,5,Yes,"Peer comparison, Gamification",483.11,AI tutor,"Hindi, Mix of English + Regional, Regional",Yes,App reviews,Achievement badges,Always,Wasting time,4
20,Other,Arts,Coaching Institute,₹30k–60k,Daily,"Flashcards, Text-based guides","YouTube, None",Afternoon,<15 mins,Parental push,"Lack of support, Hard to understand, Time management",Tablet,4,Yes,"Personalized schedules, Gamification",399.98,Video only,"English, Hindi",Yes,"Peer usage, Better grades, Better structure",Mentor reviews,Never,Not understanding,4
17,Undergraduate,Arts,Other,< ₹10k,Rarely,"Flashcards, One-on-one mentoring","YouTube, Khan Academy",Morning,45–60 mins,Parental push,"Lack of support, Poor content quality",Tablet,1,Yes,"Personalized schedules, Weekly reports",107.62,Text + Video,Mix of English + Regional,Yes,Better grades,Progress bars,Often,Too boring,4
23,Professional Course,Engineering,Other,₹10k–30k,Daily,Video lectures,None,Morning,45–60 mins,Academic success,"Poor content quality, Hard to stay focused, Hard to understand",Laptop,3,Yes,"Gamification, Mentor guidance",410.03,Interactive modules,"Regional, Hindi, Mix of English + Regional",No,"Better structure, Peer usage",Achievement badges,Often,Wasting money,4
23,Undergraduate,Law,Self-Learning,< ₹10k,Often,Flashcards,Coursera,Afternoon,45–60 mins,Parental push,"Lack of support, Time management",Laptop,5,Yes,Gamification,241.27,Interactive modules,"Regional, Mix of English + Regional",No,"Certifications, App reviews, Trial success",Mentor reviews,Often,Not understanding,4
23,Other,Business,Other,< ₹10k,Occasionally,"Flashcards, One-on-one mentoring, Text-based guides",YouTube,Morning,30–45 mins,Academic success,Hard to stay focused,Laptop,3,Yes,"Mentor guidance, Personalized schedules, Adaptive quizzes",205.79,AI tutor,"Mix of English + Regional, Regional",No,App reviews,Progress bars,Always,Not finishing,1
26,Other,Medical,Traditional College,₹30k–60k,Occasionally,Group discussions,"Unacademy, Udemy, Coursera",Random,>60 mins,Career goals,Procrastination,Mobile,4,Yes,"Mentor guidance, Gamification, Peer comparison",380.04,Video only,"English, Regional, Mix of English + Regional",Yes,"Better grades, Certifications",Progress bars,Often,Too boring,3
21,Postgraduate,Medical,Traditional College,₹10k–30k,Often,"One-on-one mentoring, Interactive quizzes","BYJU'S, Unacademy, YouTube",Late night,15–30 mins,Curiosity,"Hard to stay focused, Hard to understand, Procrastination",Mobile,5,Yes,Mentor guidance,74.94,Video only,"Regional, English, Hindi",Yes,"Better grades, Certifications, App reviews",Achievement badges,Always,Not finishing,4
21,Other,Arts,Traditional College,₹60k–100k,Often,Text-based guides,"Coursera, None",Late night,>60 mins,Academic success,Poor content quality,Mobile,4,Yes,"Peer comparison, Gamification",372.71,Mixed,"Regional, Mix of English + Regional, Hindi",No,Better grades,Progress bars,Occasionally,Not finishing,4
20,Postgraduate,Business,Online University,< ₹10k,Occasionally,"Text-based guides, One-on-one mentoring",YouTube,Late night,<15 mins,Certification,Lack of support,Desktop,4,Yes,Gamification,433.99,Video only,"Hindi, English, Regional",Yes,Better structure,Score tracking,Occasionally,Not finishing,5
22,High School,Engineering,Other,₹30k–60k,Occasionally,Text-based guides,"None, YouTube",Late night,15–30 mins,Career goals,"Poor content quality, Lack of support",Mobile,5,Yes,Mentor guidance,69.68,Text + Video,English,Yes,"Trial success, Certifications",Score tracking,Always,Not understanding,3
20,Other,Other,Other,₹30k–60k,Occasionally,Interactive quizzes,Khan Academy,Late night,>60 mins,Peer pressure,Lack of support,Tablet,4,Yes,Gamification,202.63,Video only,"English, Mix of English + Regional",Yes,App reviews,Achievement badges,Often,Wasting money,4
24,Professional Course,Science,Traditional College,₹60k–100k,Daily,One-on-one mentoring,"None, Coursera, Unacademy",Morning,45–60 mins,Curiosity,Lack of support,Mobile,5,Yes,Gamification,264.93,Video only,"Regional, Hindi, Mix of English + Regional",Yes,"Peer usage, Certifications",Achievement badges,Occasionally,Too boring,5
21,Other,Business,Coaching Institute,₹30k–60k,Daily,"Interactive quizzes, One-on-one mentoring","None, Udemy",Morning,>60 mins,Peer pressure,"Poor content quality, Hard to understand",Laptop,4,Yes,"Peer comparison, Personalized schedules",280.28,Interactive modules,"Regional, English",Yes,Certifications,Score tracking,Often,Wasting time,5
16,High School,Science,Online University,₹30k–60k,Daily,"Flashcards, Text-based guides, Video lectures","Coursera, BYJU'S, Khan Academy",Late night,<15 mins,Career goals,"Time management, Hard to stay focused, Hard to understand",Laptop,5,No,"Mentor guidance, Gamification, Peer comparison",444.45,Mixed,"Hindi, English, Mix of English + Regional",Yes,Better structure,Mentor reviews,Occasionally,Not understanding,3
21,Postgraduate,Other,Online University,> ₹100k,Occasionally,"Video lectures, Interactive quizzes","YouTube, Udemy, BYJU'S",Late night,<15 mins,Curiosity,"Hard to understand, Lack of support",Laptop,5,No,Weekly reports,395.38,Interactive modules,"Mix of English + Regional, Regional",Yes,"Trial success, Certifications, App reviews",Mentor reviews,Never,Too boring,2
18,Professional Course,Other,Traditional College,< ₹10k,Often,"Text-based guides, One-on-one mentoring, Video lectures",YouTube,Random,45–60 mins,Curiosity,Hard to stay focused,Tablet,4,Yes,"Peer comparison, Gamification, Adaptive quizzes",266.59,Text + Video,"English, Hindi",No,"Peer usage, Better grades, Better structure",Achievement badges,Always,Wasting time,5
19,Professional Course,Medical,Other,< ₹10k,Daily,Text-based guides,"Unacademy, Coursera, None",Late night,<15 mins,Curiosity,"Poor content quality, Procrastination",Laptop,4,Yes,Weekly reports,198.14,Interactive modules,"Regional, English",Yes,"App reviews, Certifications, Trial success",Progress bars,Never,Not understanding,4
20,Professional Course,Arts,Traditional College,₹10k–30k,Occasionally,"Text-based guides, Group discussions, Flashcards",None,Afternoon,30–45 mins,Career goals,"Hard to stay focused, Time management, Procrastination",Mobile,3,Yes,"Weekly reports, Gamification, Peer comparison",631.14,Mixed,"Mix of English + Regional, English, Regional",Yes,"Trial success, App reviews",Mentor reviews,Rarely,Too boring,3
22,Postgraduate,Other,Coaching Institute,> ₹100k,Occasionally,Video lectures,Khan Academy,Late night,30–45 mins,Peer pressure,"Lack of support, Time management, Procrastination",Laptop,4,Yes,"Weekly reports, Adaptive quizzes, Mentor guidance",432.92,Text + Video,"English, Hindi",No,Peer usage,Score tracking,Often,Wasting time,4
18,Professional Course,Arts,Self-Learning,₹60k–100k,Daily,"Text-based guides, Flashcards, Group discussions","None, Khan Academy",Morning,15–30 mins,Career goals,"Time management, Lack of support, Poor content quality",Mobile,3,Yes,Gamification,460.29,AI tutor,Mix of English + Regional,Yes,"Better grades, App reviews",Score tracking,Always,Wasting time,3
16,High School,Science,Coaching Institute,₹30k–60k,Often,Flashcards,"YouTube, Udemy, BYJU'S",Random,30–45 mins,Certification,"Time management, Procrastination",Tablet,1,Yes,"Weekly reports, Mentor guidance, Personalized schedules",314.94,Video only,"Mix of English + Regional, Regional",Yes,Certifications,Achievement badges,Often,Not finishing,2
22,Postgraduate,Other,Other,< ₹10k,Daily,"One-on-one mentoring, Flashcards",None,Morning,45–60 mins,Academic success,"Time management, Poor content quality",Desktop,2,Yes,"Adaptive quizzes, Personalized schedules, Mentor guidance",305.81,Text + Video,"Mix of English + Regional, Hindi",Yes,"Better grades, Trial success, Certifications",Score tracking,Often,Not understanding,4
20,Other,Medical,Other,₹10k–30k,Often,"Flashcards, One-on-one mentoring","None, YouTube",Late night,15–30 mins,Curiosity,"Procrastination, Lack of support",Desktop,5,Yes,"Weekly reports, Mentor guidance, Adaptive quizzes",288.56,Video only,"Mix of English + Regional, English, Regional",Yes,"Peer usage, Trial success",Progress bars,Occasionally,Not understanding,4
16,Postgraduate,Engineering,Online University,₹60k–100k,Often,"Interactive quizzes, Flashcards, Text-based guides","Udemy, YouTube, Unacademy",Afternoon,45–60 mins,Curiosity,"Time management, Poor content quality",Desktop,4,Yes,Mentor guidance,389.98,Text + Video,English,Yes,"Better structure, Peer usage",Progress bars,Often,Wasting time,4
21,Postgraduate,Law,Traditional College,₹30k–60k,Often,One-on-one mentoring,YouTube,Afternoon,30–45 mins,Academic success,"Poor content quality, Time management",Desktop,3,No,Personalized schedules,178.4,AI tutor,"Mix of English + Regional, English",Yes,Trial success,Mentor reviews,Always,Wasting time,2
16,Professional Course,Business,Self-Learning,₹10k–30k,Daily,"One-on-one mentoring, Interactive quizzes, Flashcards",Unacademy,Random,>60 mins,Parental push,"Hard to understand, Time management, Procrastination",Tablet,3,Yes,Adaptive quizzes,491.89,Interactive modules,"Mix of English + Regional, Hindi",Yes,"Peer usage, Better grades, Certifications",Score tracking,Occasionally,Wasting money,4
24,Other,Law,Self-Learning,> ₹100k,Occasionally,"One-on-one mentoring, Video lectures, Flashcards","YouTube, Khan Academy, None",Afternoon,>60 mins,Certification,"Procrastination, Poor content quality",Tablet,5,Yes,Personalized schedules,475.86,AI tutor,Mix of English + Regional,Yes,"Better structure, Peer usage, Better grades",Achievement badges,Occasionally,Wasting money,5
21,High School,Engineering,Coaching Institute,₹30k–60k,Often,Group discussions,"BYJU'S, YouTube, Khan Academy",Late night,45–60 mins,Parental push,"Poor content quality, Procrastination, Time management",Mobile,4,Yes,"Gamification, Mentor guidance",295.63,Interactive modules,"Hindi, English",No,"Trial success, Peer usage",Progress bars,Rarely,Too boring,3
19,Professional Course,Business,Other,₹30k–60k,Occasionally,Flashcards,"Coursera, YouTube, BYJU'S",Evening,<15 mins,Career goals,"Lack of support, Hard to understand, Procrastination",Desktop,5,Yes,"Peer comparison, Mentor guidance, Personalized schedules",466.64,Text + Video,English,Yes,Peer usage,Achievement badges,Occasionally,Too boring,5
21,Postgraduate,Other,Coaching Institute,₹10k–30k,Occasionally,"Text-based guides, Video lectures, Flashcards","Coursera, None",Morning,>60 mins,Career goals,Lack of support,Tablet,5,Yes,Mentor guidance,436.74,Mixed,English,Yes,"App reviews, Trial success, Peer usage",Achievement badges,Occasionally,Not understanding,4
23,High School,Science,Self-Learning,₹30k–60k,Often,Group discussions,"Khan Academy, BYJU'S",Afternoon,>60 mins,Career goals,Hard to understand,Laptop,4,Yes,"Personalized schedules, Adaptive quizzes, Weekly reports",488.24,Text + Video,Regional,No,"Peer usage, Certifications, Better grades",Progress bars,Rarely,Wasting time,5
19,Postgraduate,Law,Self-Learning,₹10k–30k,Daily,"Flashcards, Interactive quizzes, Group discussions","BYJU'S, None, Udemy",Late night,<15 mins,Peer pressure,"Procrastination, Poor content quality, Time management",Desktop,1,Yes,Adaptive quizzes,375.85,Interactive modules,Regional,No,Better grades,Mentor reviews,Occasionally,Wasting money,3
22,Professional Course,Other,Other,₹10k–30k,Daily,"Group discussions, Text-based guides, Interactive quizzes","Udemy, Unacademy",Morning,<15 mins,Parental push,"Hard to understand, Procrastination, Hard to stay focused",Desktop,2,Yes,"Gamification, Adaptive quizzes",388.59,Interactive modules,"Mix of English + Regional, English",Yes,"Better structure, Certifications",Score tracking,Occasionally,Wasting time,3
16,High School,Medical,Traditional College,> ₹100k,Rarely,"Text-based guides, Group discussions, One-on-one mentoring",Unacademy,Morning,<15 mins,Peer pressure,"Hard to stay focused, Time management, Poor content quality",Mobile,3,Yes,"Mentor guidance, Peer comparison, Adaptive quizzes",401.95,Mixed,"Hindi, Mix of English + Regional",Yes,"Certifications, Trial success",Achievement badges,Never,Not understanding,5
19,Professional Course,Other,Traditional College,₹30k–60k,Rarely,"Text-based guides, Video lectures, Interactive quizzes",BYJU'S,Afternoon,45–60 mins,Career goals,Poor content quality,Laptop,5,Yes,"Gamification, Personalized schedules, Weekly reports",122.02,Video only,"English, Hindi, Regional",Yes,"Better grades, Better structure",Progress bars,Often,Not finishing,5
16,Other,Medical,Traditional College,₹60k–100k,Occasionally,"Video lectures, One-on-one mentoring","Udemy, YouTube",Evening,30–45 mins,Career goals,Procrastination,Mobile,3,Yes,Peer comparison,302.07,AI tutor,"Regional, Mix of English + Regional, Hindi",Yes,Peer usage,Achievement badges,Always,Too boring,4
21,Professional Course,Science,Coaching Institute,₹30k–60k,Occasionally,"One-on-one mentoring, Group discussions","BYJU'S, Khan Academy",Random,45–60 mins,Academic success,"Procrastination, Poor content quality, Time management",Tablet,5,Yes,"Gamification, Adaptive quizzes",488.12,Video only,"Mix of English + Regional, Hindi",Yes,"Better grades, App reviews, Trial success",Progress bars,Occasionally,Not finishing,5
19,Professional Course,Other,Other,₹30k–60k,Daily,"Group discussions, Text-based guides, One-on-one mentoring",YouTube,Random,45–60 mins,Peer pressure,"Poor content quality, Hard to stay focused, Procrastination",Laptop,5,Yes,"Mentor guidance, Weekly reports, Adaptive quizzes",228.39,Text + Video,"Mix of English + Regional, Regional, Hindi",No,Certifications,Progress bars,Occasionally,Not finishing,4
24,Professional Course,Medical,Coaching Institute,₹30k–60k,Occasionally,"Flashcards, Group discussions","Khan Academy, YouTube",Late night,>60 mins,Parental push,"Poor content quality, Time management, Hard to stay focused",Mobile,3,No,"Personalized schedules, Weekly reports, Gamification",290.55,AI tutor,"English, Regional",Yes,Trial success,Score tracking,Rarely,Not understanding,4
20,Professional Course,Business,Other,₹60k–100k,Daily,"Text-based guides, Video lectures, One-on-one mentoring","Coursera, None, Khan Academy",Late night,30–45 mins,Curiosity,"Hard to understand, Procrastination, Poor content quality",Tablet,2,Yes,"Peer comparison, Adaptive quizzes, Gamification",150.1,AI tutor,"English, Hindi",No,Peer usage,Score tracking,Often,Not finishing,5
24,Postgraduate,Other,Traditional College,₹30k–60k,Occasionally,One-on-one mentoring,Unacademy,Afternoon,30–45 mins,Certification,"Poor content quality, Lack of support",Laptop,3,Yes,"Weekly reports, Adaptive quizzes, Personalized schedules",477.93,Interactive modules,"Mix of English + Regional, English, Regional",Yes,Trial success,Achievement badges,Often,Wasting time,1
16,High School,Business,Traditional College,₹30k–60k,Occasionally,"Text-based guides, Group discussions","Coursera, YouTube",Random,<15 mins,Parental push,"Hard to understand, Time management",Mobile,4,Yes,"Personalized schedules, Weekly reports",458.77,Mixed,"Hindi, Regional, English",No,"App reviews, Certifications",Mentor reviews,Often,Not finishing,4
16,Postgraduate,Business,Traditional College,₹30k–60k,Daily,"Interactive quizzes, Text-based guides",Unacademy,Morning,30–45 mins,Certification,"Lack of support, Hard to understand, Time management",Tablet,4,No,"Mentor guidance, Peer comparison",196.22,AI tutor,Mix of English + Regional,Yes,"Certifications, Trial success, App reviews",Score tracking,Occasionally,Not finishing,5
19,Other,Medical,Online University,₹60k–100k,Never,Group discussions,"Khan Academy, None",Afternoon,45–60 mins,Academic success,"Procrastination, Poor content quality",Mobile,3,Yes,"Mentor guidance, Adaptive quizzes",121.94,AI tutor,"Regional, English",No,Certifications,Score tracking,Rarely,Not finishing,3
28,Postgraduate,Medical,Online University,₹10k–30k,Rarely,"Text-based guides, Video lectures","BYJU'S, Udemy, YouTube",Morning,45–60 mins,Career goals,Hard to understand,Desktop,5,No,Adaptive quizzes,467.22,Mixed,"Regional, English, Hindi",No,"App reviews, Better structure",Score tracking,Occasionally,Wasting time,4
19,High School,Engineering,Other,₹30k–60k,Often,"Flashcards, Text-based guides","None, Khan Academy, Coursera",Late night,>60 mins,Academic success,"Poor content quality, Hard to understand",Desktop,4,Yes,Adaptive quizzes,64.06,AI tutor,"Mix of English + Regional, English",Yes,"Better structure, Better grades",Score tracking,Always,Not finishing,4
21,Professional Course,Law,Online University,< ₹10k,Daily,Text-based guides,"Coursera, Udemy",Random,45–60 mins,Certification,"Hard to understand, Hard to stay focused",Desktop,4,Yes,Adaptive quizzes,261.3,AI tutor,"Hindi, Mix of English + Regional, Regional",Yes,Certifications,Achievement badges,Often,Too boring,5
18,Professional Course,Science,Coaching Institute,₹30k–60k,Rarely,"Group discussions, Flashcards","Unacademy, Udemy, Khan Academy",Evening,15–30 mins,Career goals,"Lack of support, Hard to understand",Desktop,4,Yes,Personalized schedules,276.06,Interactive modules,English,Yes,Better grades,Mentor reviews,Occasionally,Too boring,5
28,Other,Medical,Traditional College,₹10k–30k,Often,"Group discussions, Video lectures","Udemy, Coursera, Khan Academy",Afternoon,45–60 mins,Parental push,"Lack of support, Procrastination",Desktop,5,No,"Gamification, Weekly reports",573.44,AI tutor,"Mix of English + Regional, English",Yes,"Better grades, Peer usage",Score tracking,Occasionally,Not understanding,5
28,Other,Law,Traditional College,₹10k–30k,Occasionally,One-on-one mentoring,"Udemy, None, Khan Academy",Evening,45–60 mins,Certification,Hard to stay focused,Laptop,4,Yes,"Adaptive quizzes, Gamification, Mentor guidance",150.47,Video only,"English, Regional",Yes,"Peer usage, Better structure, Better grades",Achievement badges,Never,Not understanding,3
19,Other,Business,Traditional College,> ₹100k,Occasionally,Group discussions,"Unacademy, Udemy, None",Afternoon,15–30 mins,Curiosity,Time management,Mobile,5,Yes,"Personalized schedules, Weekly reports",373.68,Mixed,Hindi,No,"Trial success, Peer usage",Mentor reviews,Rarely,Too boring,4
19,Professional Course,Arts,Self-Learning,< ₹10k,Occasionally,Video lectures,YouTube,Late night,15–30 mins,Peer pressure,"Lack of support, Hard to stay focused",Tablet,4,Yes,"Mentor guidance, Adaptive quizzes, Peer comparison",540.94,AI tutor,"Mix of English + Regional, Hindi",Yes,Peer usage,Achievement badges,Often,Too boring,3
23,High School,Engineering,Coaching Institute,₹60k–100k,Daily,"One-on-one mentoring, Video lectures","Coursera, Khan Academy",Evening,<15 mins,Academic success,"Hard to stay focused, Poor content quality",Mobile,4,Yes,"Gamification, Adaptive quizzes, Weekly reports",418.59,Video only,Hindi,Yes,Trial success,Achievement badges,Often,Not understanding,5
21,Other,Other,Self-Learning,₹10k–30k,Often,One-on-one mentoring,"Khan Academy, Udemy, None",Afternoon,>60 mins,Academic success,"Hard to stay focused, Lack of support",Laptop,4,Yes,Gamification,524.75,Mixed,Regional,Yes,"App reviews, Better structure",Score tracking,Often,Wasting time,4
20,High School,Science,Other,< ₹10k,Occasionally,"Video lectures, One-on-one mentoring","Coursera, Unacademy, BYJU'S",Late night,30–45 mins,Peer pressure,Hard to stay focused,Desktop,3,Yes,"Mentor guidance, Weekly reports",332.75,Text + Video,"Regional, English, Hindi",Yes,Peer usage,Progress bars,Occasionally,Wasting time,4
19,High School,Law,Traditional College,₹10k–30k,Daily,"Video lectures, One-on-one mentoring",Unacademy,Late night,15–30 mins,Academic success,"Lack of support, Procrastination, Poor content quality",Laptop,3,Yes,"Mentor guidance, Adaptive quizzes, Peer comparison",74.67,Mixed,"Mix of English + Regional, English, Regional",No,"Peer usage, App reviews, Better structure",Score tracking,Never,Not understanding,2
20,Postgraduate,Other,Traditional College,₹60k–100k,Rarely,"Flashcards, Text-based guides, Group discussions",Udemy,Afternoon,30–45 mins,Career goals,Hard to understand,Laptop,2,No,"Mentor guidance, Weekly reports, Peer comparison",261.1,Text + Video,"Mix of English + Regional, Regional",Yes,"Trial success, Certifications, Better structure",Mentor reviews,Occasionally,Wasting money,4
21,Undergraduate,Business,Coaching Institute,₹60k–100k,Occasionally,"Flashcards, Group discussions","None, Coursera, Udemy",Evening,<15 mins,Career goals,"Hard to stay focused, Time management, Poor content quality",Desktop,4,Yes,Peer comparison,113.98,Video only,Hindi,No,"Certifications, Better structure, Trial success",Mentor reviews,Often,Wasting time,3
20,Postgraduate,Engineering,Other,₹10k–30k,Often,Flashcards,"YouTube, BYJU'S, None",Morning,15–30 mins,Parental push,"Lack of support, Hard to stay focused",Desktop,4,No,Adaptive quizzes,580.63,Text + Video,Hindi,Yes,"Better grades, Peer usage, Trial success",Score tracking,Often,Wasting money,4
18,Undergraduate,Law,Other,₹60k–100k,Occasionally,"Flashcards, Group discussions, Interactive quizzes","None, Udemy",Morning,>60 mins,Parental push,"Poor content quality, Hard to stay focused",Mobile,5,Yes,"Personalized schedules, Adaptive quizzes, Peer comparison",413.72,Interactive modules,Hindi,Yes,"Trial success, Better grades",Progress bars,Often,Wasting time,5
25,Professional Course,Science,Other,₹60k–100k,Daily,"Text-based guides, Interactive quizzes",Unacademy,Afternoon,15–30 mins,Parental push,Time management,Tablet,3,Yes,"Personalized schedules, Mentor guidance, Weekly reports",346.32,Video only,"Regional, Hindi, English",Yes,"Peer usage, App reviews, Better grades",Progress bars,Never,Too boring,5
16,Other,Science,Online University,₹10k–30k,Occasionally,"Group discussions, Interactive quizzes","Coursera, Unacademy",Late night,>60 mins,Career goals,Hard to stay focused,Laptop,4,Yes,Mentor guidance,407.27,Interactive modules,"Hindi, Mix of English + Regional",No,Peer usage,Mentor reviews,Often,Not understanding,3
22,Professional Course,Law,Coaching Institute,₹60k–100k,Rarely,"Group discussions, Video lectures, Flashcards","Khan Academy, Unacademy, BYJU'S",Random,30–45 mins,Curiosity,"Time management, Hard to understand, Poor content quality",Tablet,5,Yes,"Weekly reports, Adaptive quizzes",70.52,AI tutor,"Mix of English + Regional, English, Hindi",Yes,Better structure,Score tracking,Rarely,Not understanding,2
22,High School,Arts,Online University,> ₹100k,Daily,"Flashcards, Interactive quizzes, Text-based guides","Coursera, YouTube",Random,30–45 mins,Certification,Hard to understand,Tablet,2,Yes,Adaptive quizzes,509.21,Mixed,Mix of English + Regional,Yes,"Better grades, App reviews, Trial success",Score tracking,Always,Too boring,5
20,Undergraduate,Engineering,Coaching Institute,₹30k–60k,Rarely,"Text-based guides, One-on-one mentoring","Unacademy, BYJU'S",Afternoon,15–30 mins,Academic success,Procrastination,Tablet,2,Yes,Personalized schedules,279.47,Text + Video,"Hindi, Mix of English + Regional",No,"Certifications, Trial success, Better grades",Mentor reviews,Often,Too boring,4
18,Postgraduate,Medical,Traditional College,₹30k–60k,Rarely,"Video lectures, Group discussions, One-on-one mentoring","YouTube, Coursera",Morning,15–30 mins,Peer pressure,Procrastination,Tablet,5,Yes,"Personalized schedules, Adaptive quizzes, Peer comparison",411.7,Mixed,Regional,Yes,Better structure,Score tracking,Occasionally,Wasting money,5
23,Postgraduate,Science,Other,₹30k–60k,Rarely,"Video lectures, One-on-one mentoring, Group discussions","Unacademy, Khan Academy, Coursera",Late night,>60 mins,Curiosity,Time management,Laptop,2,Yes,"Peer comparison, Gamification",481.91,AI tutor,Regional,Yes,"Certifications, Better grades",Score tracking,Often,Not understanding,3
18,Other,Medical,Traditional College,₹60k–100k,Occasionally,Video lectures,"Unacademy, Khan Academy, BYJU'S",Late night,<15 mins,Career goals,Procrastination,Mobile,4,Yes,Personalized schedules,480.58,Text + Video,"Regional, English, Hindi",No,Trial success,Mentor reviews,Often,Not understanding,4
16,Professional Course,Other,Other,₹60k–100k,Occasionally,Video lectures,YouTube,Evening,>60 mins,Certification,"Time management, Hard to stay focused",Desktop,3,No,"Weekly reports, Adaptive quizzes, Gamification",612.84,Video only,"English, Hindi, Mix of English + Regional",Yes,Better grades,Score tracking,Rarely,Not understanding,4
23,Undergraduate,Other,Self-Learning,₹30k–60k,Often,Interactive quizzes,"Coursera, BYJU'S",Afternoon,30–45 mins,Academic success,"Procrastination, Hard to stay focused",Mobile,4,No,Personalized schedules,201.87,Mixed,"Hindi, English, Mix of English + Regional",Yes,"App reviews, Peer usage, Better grades",Mentor reviews,Occasionally,Not finishing,4
